facility_name,reg_no,facility_type,level,county,status
AFYA HILL MEDICAL CENTRE,019xxx,MEDICAL CLINIC,LEVEL 2,NYAMIRA,ACTIVE
AFYA INTERNATIONAL HOSPITAL,004xxx,HOSPITAL LEVEL 4,LEVEL 4,KILIFI,ACTIVE
AFYA JEBI MEDICAL CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,LAIKIPIA,ACTIVE
AFYA JUJA CLINIC,004xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
AFYA KAMILI MEDICAL CENTRE,017xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
AFYA MASHINANI DIABETES CENTRES LIMITED-MWEA,023xxx,MEDICAL CLINIC,LEVEL 2,KIRINYAGA,ACTIVE
AFYA MEDICAL CLINIC AND NURSING HOME LIMITED,003xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AFYA MEDICAL CLINIC DAGORETTI MARKET,005xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
AFYA MILE DENTAL CLINIC LIMITED,020xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AFYA NJEMA MEDICAL CLINIC,004xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
AFYA NURSING HOME MOYALE,002xxx,HOSPITAL LEVEL 4,LEVEL 4,MARSABIT,ACTIVE
AFYA POINT MEDICARE LIMITED,002xxx,MEDICAL CLINIC,LEVEL 2,KERICHO,ACTIVE
AFYA PRECISE MEDICAL,006xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AFYA RESEARCH AFRICA-ARAM UBUNTU AFYA MEDICAL CENTRE,018xxx,MEDICAL CENTRE,LEVEL 3B,SIAYA,ACTIVE
AFYA RESEARCH AFRICA-MFANGANO COMMUNITY HEALTH CENTER,007xxx,MEDICAL CLINIC,LEVEL 2,HOMA BAY,ACTIVE
AFYA RESEARCH AFRICA-OMBOYE UBUNTU AFYA MEDICAL CENTRE,003xxx,MEDICAL CLINIC,LEVEL 2,SIAYA,ACTIVE
AFYA RESEARCH AFRICA-UBUNTU AFYA NINALAKESIDE,003xxx,MEDICAL CLINIC,LEVEL 2,SIAYA,ACTIVE
AFYA SPACE CONSULTANCY LTD,018xxx,MEDICAL CLINIC,LEVEL 2,BUNGOMA,ACTIVE
AFYA SPRINGS MED CENTRE,017xxx,MEDICAL CLINIC,LEVEL 2,LAIKIPIA,ACTIVE
AFYACARE HEALTH SERVICES,007xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
AFYACARE HOSPITAL LIMITED,021xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AFYACORE MEDICAL CENTRE LIMITED,014xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AFYADERM SKIN CLINIC,024xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AFYAFOCUS MEDICAL CENTRE,020xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
AFYAHUB MEDICAL CENTER LTD,020xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AFYAKIBRA DENTAL CLINIC LTD,019xxx,DENTAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
AFYALANE MEDICAL CENTRE LIMITED,019xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
AFYALINE SALGAA MEDICAL CENTRE,021xxx,MEDICAL CENTRE,LEVEL 3B,NAKURU,ACTIVE
AFYALINK MEDICAL CENTRE,014xxx,NURSING HOME,LEVEL 3A,KIRINYAGA,ACTIVE
AFYAMAX MEDICAL CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
AFYAMAX MEDICAL CLINIC-MERU,018xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
AFYAMED LUBAO MEDICAL CENTRE,018xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
AFYAMONT LIMITED,014xxx,MEDICAL CLINIC,LEVEL 2,MURANG'A,ACTIVE
AFYAPOINT MEDICARE LIMITED -ANNEX,180xxx,EYE HOSPITAL LEVEL 4,LEVEL 4,KERICHO,ACTIVE
AFYAROMED CENTER,021xxx,MEDICAL CLINIC,LEVEL 2,NAROK,ACTIVE
AFYASTAR MEDICAL CENTRE,020xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
AFYATELE CENTRE,007xxx,MEDICAL CENTRE,LEVEL 3B,SIAYA,ACTIVE
AFYATRUST BUTULA MEDICAL CENTRE LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,BUSIA,ACTIVE
AFYAUHAI MEDICAL CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
AGA KHAN HEALTH SERVICE KENYA LIMITED-MIKINDANI MEDICAL CENTRE,023xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
AGA KHAN HOSPITAL KIMILILI,020xxx,MEDICAL CENTRE,LEVEL 3B,BUNGOMA,ACTIVE
AGA KHAN HOSPITAL KISUMU-NYAMIRA MEDICAL CENTRE,021xxx,MEDICAL CENTRE,LEVEL 3B,NYAMIRA,ACTIVE
AGA KHAN HOSPITAL-MWATATE,019xxx,MEDICAL CENTRE,LEVEL 3B,TAITA TAVETA,ACTIVE
AGA KHAN MEDICAL CENTRE BOMBOLULU,019xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
AGA KHAN MEDICAL CENTRE HOLA,019xxx,MEDICAL CENTRE,LEVEL 3B,TANA RIVER,ACTIVE
AGA KHAN MEDICAL CENTRE LIKONI,019xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
AGA KHAN MEDICAL CENTRE MALINDI,020xxx,MEDICAL CENTRE,LEVEL 3B,KILIFI,ACTIVE
"AGA KHAN MEDICAL CENTRE, BAMBURI MWISHO",015xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
"AGA KHAN MEDICAL CENTRE, NYALI",003xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
"AGA KHAN MEDICAL CENTRE, VOI",015xxx,MEDICAL CENTRE,LEVEL 3B,TAITA TAVETA,ACTIVE
"AGA KHAN MEDICAL CENTRE, CHANGAMWE",003xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
"AGA KHAN MEDICAL CENTRE, KILIFI",014xxx,MEDICAL CENTRE,LEVEL 3B,KILIFI,ACTIVE
"AGA KHAN MEDICAL CENTRE, MTWAPA",002xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
AGA KHAN MEDICAL CENTRE-ELDORET,019xxx,MEDICAL CENTRE,LEVEL 3B,UASIN GISHU,ACTIVE
AGAPE CARE NET MEDICAL CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,VIHIGA,ACTIVE
AGAPE LIFECARE CENTRE,020xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AGAWO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
AGC LIONS NGOSWANI HOSPITAL,020xxx,BASIC HEALTH CENTRE,LEVEL 3B,NAROK,ACTIVE
AGE-WELL CLINICS LIMITED,023xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AGEFINE LAB & CLINIC LIMITED,021xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AGENG\'A DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
AGENGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
AGERA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
AGISO HEALTHCARE,021xxx,MEDICAL CLINIC,LEVEL 2,HOMA BAY,ACTIVE
AGOK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
AGRIFLORA (K) LTD CLINIC,002xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
AGUTHI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
AHADI HEALTH & MATERNITY SERVICES,000xxx,MATERNITY HOME,LEVEL 3A,KIAMBU,ACTIVE
AHAVA MEDICAL CENTRE,007xxx,NURSING HOME,LEVEL 3A,KISUMU,ACTIVE
AHERO ANNEX HEALTHCARE LTD,003xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
AHERO JUNCTION MEDICAL CENTRE,020xxx,MEDICAL CENTRE,LEVEL 3B,KISUMU,ACTIVE
AHERO MEDICAL CENTER,003xxx,NURSING HOME,LEVEL 3A,KISUMU,ACTIVE
AHERO SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KISUMU,ACTIVE
AHF MATHARE CLINIC,003xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AHF PARKLANDS CLINIC,003xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AHLI HOSPITAL LIMITED,019xxx,NURSING HOME,LEVEL 3A,KAJIADO,ACTIVE
AHMADIYYA MUSLIM HOSPITAL,020xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,KAKAMEGA,ACTIVE
AHMED LIBAN MEDICAL CENTRE LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AIANTOSMALICK MEDICAL CENTRE,021xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AIC ALALE HEALTH CENTRE-ALALE,020xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
AIC BETHSAIDA MEDICAL CENTRE,000xxx,HEALTH CENTRE,LEVEL 3A,NAKURU,ACTIVE
AIC CURE INTERNATIONAL HOSPITAL,004xxx,FAITH BASED LEVEL 5 HOSPITAL,LEVEL 5,KIAMBU,ACTIVE
AIC ELDAMA RAVINE HEALTH CENTRE,000xxx,HEALTH CENTRE,LEVEL 3A,BARINGO,ACTIVE
AIC GATAB HEALTH CENTRE,000xxx,HEALTH CENTRE,LEVEL 3A,MARSABIT,ACTIVE
AIC ISIOLO DISPENSARY,001xxx,DISPENSARY,LEVEL 2,ISIOLO,ACTIVE
AIC KAJIADO HEALTH CENTRE,021xxx,BASIC HEALTH CENTRE,LEVEL 3B,KAJIADO,ACTIVE
AIC KAPSOWAR MISSION HOSPITAL-ELDORET CLINIC,019xxx,BASIC HEALTH CENTRE,LEVEL 3B,UASIN GISHU,ACTIVE
AIC KATAKANI DISPENSARY,000xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
AIC KIJABE HOSPITAL,001xxx,FAITH BASED LEVEL 5 HOSPITAL,LEVEL 5,KIAMBU,ACTIVE
AIC KIJABE HOSPITAL MARIRA DISPENSARY,002xxx,DISPENSARY,LEVEL 2,KIAMBU,ACTIVE
AIC KIJABE HOSPITAL-NAIVASHA MEDICAL CENTRE,001xxx,HEALTH CENTRE,LEVEL 3A,NAKURU,ACTIVE
AIC KYUMBE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
AIC LITEIN HOSPITAL,000xxx,FAITH BASED LEVEL 5 HOSPITAL,LEVEL 5,KERICHO,ACTIVE
AIC LITEIN HOSPITAL-KERICHO ANNEX,018xxx,HEALTH CENTRE,LEVEL 3A,KERICHO,ACTIVE
AIC LODENGO HEALTH CENTRE,004xxx,HEALTH CENTRE,LEVEL 3A,BARINGO,ACTIVE
AIC LOKICHOGIO HEALTH CENTRE,000xxx,HEALTH CENTRE,LEVEL 3A,TURKANA,ACTIVE
AIC NAMAREY DISPENSARY,016xxx,FAITH BASED DISPENSARY,LEVEL 2,MARSABIT,INACTIVE
AIC NYABIKOMU DISPENSARY,016xxx,FAITH-BASED BASIC CENTRE,LEVEL 3B,NYAMIRA,ACTIVE
AIC SIMBI-LELWAK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
AIC SIYIAPEI DISPENSARY,000xxx,DISPENSARY,LEVEL 2,NAROK,INACTIVE
AIC TITILA DISPENSARY,001xxx,DISPENSARY,LEVEL 2,TANA RIVER,ACTIVE
AIC ZOMBE HEALTH CENTRE,003xxx,FAITH-BASED BASIC CENTRE,LEVEL 3B,KITUI,ACTIVE
AIMA HOSPITAL LIMITED,018xxx,NURSING HOME,LEVEL 3A,NAIROBI,ACTIVE
AIMED HEALTHCARE,020xxx,MEDICAL CLINIC,LEVEL 2,SIAYA,ACTIVE
AIMO HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
AINA DISPENSARY,003xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
AINABKOI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,UASIN GISHU,ACTIVE
AINAMOI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
AINAMOI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KERICHO,ACTIVE
AINAMOI HEALTH CLINIC LIMITED,019xxx,MEDICAL CENTRE,LEVEL 3B,KERICHO,ACTIVE
AIPCA NAKURU WEST MEDICAL CLINIC,006xxx,MEDICAL CENTRE,LEVEL 3B,NAKURU,ACTIVE
AIR STRIP MEDICARE MOYALE,005xxx,NURSING HOME,LEVEL 3A,MARSABIT,ACTIVE
AIRPORT HEALTH CENTRE-KISUMU,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISUMU,ACTIVE
AIRPORT VIEW DIAGNOSTIC MEDICAL CARE,018xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
AIRWAYS NURSING CARE,020xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
AIYEBO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
AJ PLASTIC SURGERY LIMITED,015xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,NAIROBI,ACTIVE
AJAM MISSION HEALTH CENTRE,007xxx,HEALTH CENTRE,LEVEL 3A,KAJIADO,ACTIVE
AJAWA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,WAJIR,ACTIVE
AJOF DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
AKACHIU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MERU,ACTIVE
AKAIGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
AKALA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,SIAYA,ACTIVE
AKATUMIN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
AKAYIOZ MEDICAL CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
AKEDEJOE FAMILY THERAPY AND COTTAGE HOSPITAL LIMITED,021xxx,MEDICAL CENTRE,LEVEL 3B,NAROK,ACTIVE
AKEIA WELLNESS AGENCIES,021xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AKEMO MEDICAL CLINICAL AND PHARMACY,006xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
AKEMO VALLEY MATERNITY AND NURSING HOME,000xxx,NURSING HOME,LEVEL 3A,NAROK,ACTIVE
AKICHELESIT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
AKIRA LEGACY HEALTH AND WELLNESS LTD,023xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AKIRIAMAS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
AKITES HEALTHCARE KENYA,006xxx,MEDICAL CENTRE,LEVEL 3B,BUSIA,ACTIVE
AKITHI MEDICAL CENTRE,008xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
AKITHII MEDICAL CENTRE,006xxx,HEALTH CENTRE,LEVEL 3A,MERU,ACTIVE
AKM HEALTH CENTRE LTD,016xxx,NURSING HOME,LEVEL 3A,KIRINYAGA,ACTIVE
AKOBWAIT COMMUNITY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
AKOLONG DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
AKORIAN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
AKRAM MEDICAL CENTRE,015xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AKSHAR HEALTH CARE LTD,003xxx,NURSING HOME,LEVEL 3A,KIAMBU,ACTIVE
AKTALEHEL DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
AKWICHATIS HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
AL -BUSHRA MEDICAL CENTRE,004xxx,MEDICAL CLINIC,LEVEL 2,GARISSA,ACTIVE
AL AHLI NURSING HOME - RHAMU,015xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AL AHLI NURSING HOME LIMITED,015xxx,MEDICAL CENTRE,LEVEL 3B,MANDERA,ACTIVE
AL AMIN MEDICAL & LABARATORY,003xxx,MEDICAL CLINIC,LEVEL 2,GARISSA,ACTIVE
AL AQSA MEDICAL CLINIC & LABORATORY SERVICE,003xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AL CADAALA HOSPITAL LIMITED,023xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AL FARID HOSPITAL LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL FOAUD HOSPITAL LIMITED,024xxx,MEDICAL CENTRE,LEVEL 3B,MANDERA,ACTIVE
AL GADHIR CENTRE LIMITED,000xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
AL HABIB NURSING HOME,016xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
AL HIKMA MEDICAL CENTRE AND NURSING HOME LIMITED,020xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL IHSAN MEDICAL CLINIC,017xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AL JALIL MEDICAL CENTRE LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL KINDI MEDICAL CENTRE LTD,013xxx,NURSING HOME,LEVEL 3A,NAIROBI,ACTIVE
AL MAARAJ MEDICAL CENTRE,015xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL MAIDAH NURSING HOME LIMITED,020xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL MANAR NURSING HOME LIMITED,006xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AL NAIM MEDICAL CLINIC AND LAB SERVICES,017xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL NASRI NURSING HOME LTD,019xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL QUDUS DIAGNOSTIC HOSPITAL.,019xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
AL RAHMAN NURSING HOME LTD,015xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AL SHAMSI MEDICAL CENTRE LIMITED,024xxx,MEDICAL CENTRE,LEVEL 3B,MANDERA,ACTIVE
AL SHIFAC NURSING HOME LIMITED,019xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL WAHAB MEDICARE,024xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
AL YUSRAA MEDICAL CENTER,015xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
AL- MANAAR MEDICAL CENTRE LIMITED,016xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AL-AIN MEDICAL CENTRE LIMITED,024xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
AL-AMANNAH HOSPITAL,017xxx,HOSPITAL LEVEL 4,LEVEL 4,WAJIR,ACTIVE
AL-AMIN HOSPITAL LIMITED,014xxx,NURSING HOME,LEVEL 3A,NAIROBI,ACTIVE
AL-AQSAA MATERNITY HOSPITAL,003xxx,MATERNITY HOME,LEVEL 3A,MOMBASA,ACTIVE
AL-BAITUL TIIBA HOSPITAL LIMITED,019xxx,MEDICAL CENTRE,LEVEL 3B,GARISSA,ACTIVE
AL-BASRAH HOSPITAL LTD,020xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
AL-BILAL NURSING HOME,003xxx,NURSING HOME,LEVEL 3A,MARSABIT,ACTIVE
AL-BIR MEDICAL CENTRE,005xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
AL-BUKHARI MATERNITY AND NURSING HOME,017xxx,MEDICAL CENTRE,LEVEL 3B,MANDERA,ACTIVE
AL-BUQARI NURSING HOME LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AL-BUSHRA MEDICAL CENTRE LIMITED,003xxx,HOSPITAL LEVEL 4,LEVEL 4,WAJIR,ACTIVE
AL-CAFI NURSING HOME LIMITED,024xxx,NURSING HOME,LEVEL 3A,MANDERA,INACTIVE
AL-DAYAX MEDICAL CLINIC AND LABORATORY SERVICES,017xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
AL-FALAH NURSING HOME LIMITED,020xxx,MEDICAL CENTRE,LEVEL 3B,MANDERA,ACTIVE
AL-FIRDAUS HEALTH CARE,017xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
AL-FOWZ NURSING HOME,015xxx,HOSPITAL LEVEL 4,LEVEL 4,MANDERA,ACTIVE
AL-GHANIM MEDICAL & DIAGNOSTIC CENTRE,019xxx,MEDICAL CENTRE,LEVEL 3B,GARISSA,ACTIVE
AL-HAFIDH MEDICAL CENTRE,016xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
AL-HAMDU HEALTHCARE LTD,016xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AL-HAMDU NURSING HOME,003xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL-HAQQ HEALTH SERVICES,005xxx,MEDICAL CLINIC,LEVEL 2,GARISSA,ACTIVE
AL-HARAMEIN NURSING HOME & LABORATORY SERVICE LIMITED,020xxx,MEDICAL CENTRE,LEVEL 3B,MANDERA,INACTIVE
AL-HIDDAYA HEALTHCARE,002xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AL-HUDA NURSING HOME LTD,016xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL-IHSAAN HEALTH CENTRE KIMAETI,019xxx,MEDICAL CENTRE,LEVEL 3B,BUNGOMA,ACTIVE
AL-IKHLAS MEDICAL CLINIC,014xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,INACTIVE
AL-IQLAS MEDICAL CLINIC LIMITED,016xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AL-ISHRAQ NURSING HOME LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AL-JAMIL NURSING HOME LIMITED,020xxx,MEDICAL CENTRE,LEVEL 3B,MANDERA,ACTIVE
AL-JAZEERA MEDICAL CENTRE,005xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AL-KAWTHAR WELLNESS CENTRE LIMITED,016xxx,HOSPITAL LEVEL 4,LEVEL 4,WAJIR,ACTIVE
AL-KIFAH MEDICAL CENTRE LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AL-MAQDIS MEDICAL CENTRE,003xxx,HOSPITAL LEVEL 4,LEVEL 4,GARISSA,ACTIVE
AL-MARWA NURSING HOME LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AL-MASRY NURSING HOME LIMITED,024xxx,MEDICAL CENTRE,LEVEL 3B,MANDERA,ACTIVE
AL-MIQDAD MEDICAL CENTER LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AL-MISHAAL NURSING HOME LIMITED,024xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AL-MUHARAM NURSING HOME LTD,024xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AL-MUNIR NURSING HOME LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AL-MUNTAHA HOSPITAL LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AL-NAJAH MEDICARE LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AL-NAS NURSING HOME,006xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AL-NUR MEDICAL CLINIC & LABARATORY SERVICES,005xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
AL-NUUR MEDICAL CENTER,017xxx,MEDICAL CLINIC,LEVEL 2,MARSABIT,ACTIVE
AL-QUDUS MEDICAL CENTRE LTD,014xxx,MEDICAL CENTRE,LEVEL 3B,GARISSA,ACTIVE
AL-RAHMAMED CLINIC AND LABORATORY,001xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AL-RASHAD MEDICAL CENTRE,007xxx,MEDICAL CLINIC,LEVEL 2,GARISSA,ACTIVE
AL-RAYAN CHILD AND FAMILY CARE,019xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL-SHAKUUR NURSING HOME LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL-SHIFA HEALTHCARE LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AL-SHIFAAT NURSING HOME LIMITED,017xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AL-SIHA NURSING HOME LIMITED,002xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
AL-UBEIDY HEALTHCARE CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
AL-WADUD NURSING HOME LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL-ZAHRAWI NURSING HOME,016xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
AL\'USRA MEDICAL CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
ALABAMA MEDICAL CLINIC,016xxx,MEDICAL CLINIC,LEVEL 2,BUSIA,ACTIVE
ALALE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,WEST POKOT,ACTIVE
ALANGO COMMUNITY HOSPITAL LIMITED,024xxx,NURSING HOME,LEVEL 3A,MANDERA,INACTIVE
ALARA NYAMBIJA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
ALARO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
ALBADHAR NURSING HOME,021xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
ALBAIK MEDICAL CENTRE,020xxx,NURSING HOME,LEVEL 3A,KILIFI,ACTIVE
ALBANI MEDICAL CLINIC,019xxx,NURSING HOME,LEVEL 3A,ISIOLO,ACTIVE
ALBERTOL MEDICARE COMPANY LIMITED,014xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
