Provider,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb
Mwatate Sub-District Hospital,,,305360,354720,200560,518400,,1009520
Mwea County Medical Center,"280,000",42480,403200,385280,125440,495040,134400,936320
MWEA MEDICAL CENTRE,,2247600,2859520,1910000,924240,3073520,84640,3148560
MWEA MISSION (OUR LADY OF LOURDES) HOSPITAL,,13159282,9262710,3419810,2362980,9516070,1201260,7839330
MWEIGA HEALTH CENTRE,,,,,10000,,,
mwengea dispensary,,,10000,,,,,
Mwihila Mission Hospital,,,,,1790160,4605980,,1611360
Mwiki Health Centre,"40,000",20000,90000,110000,40000,120000,10000,180000
MWINGI DOCTOR'S PLAZA LIMITED,,,,,1212755,1935140,,1002880
MWINGI LEVEL IV HOSPITAL,,2247856,3999240,1712400,1739680,2714560,99520,4388880
Mwingi Medicare Centre,"1,019,658",627731,855065,317600,87360,284480,145120,
Mwingi Specialist Hospital,"23,520",,551680,595840,100800,346080,,409200
MYER KIDNEY & HEALTH SPECIALITIES HOSPITAL,,,,5242850,567000,1175350,,1554900
MZEDU DAWIDA MEDICAL SERVICES,150400,29320,31360,31360,6720,132160,,118720
NABIL NURSING HOME,"64,240",,,,,,,
Nabongo Dispensary,,,40000,50000,,140000,,70000
NABSIT NURSING HOME,"493,920",,1985760,628320,409920,1532160,,1505280
Nabuala Medical Centre,"60,400",70720,981120,1373440,844880,3798240,,5577440
Nadanya Dispensary,,,10000,,,,,
Naidu Hospital,,222000,13440,107520,36960,338320,53520,57040
Nairobi Adventist Hospital,,,280000,304000,315200,1289500,,260000
Nairobi East Hospital Ltd,"276,900",617700,1057430,1133110,172600,2714230,,830700
Nairobi Homes Clinic,"46,800",,485120,119600,152320,152000,343040,127120
NAIROBI HOSPITAL,7841276,2039513,11597464,5507440,2366090,5891780,2366821,11001339
NAIROBI RADIOTHERAPY AND CANCER CENTRE-KINDARUMA,,,,3555581,11316672,1271425,177875,
NAIROBI SOUTH HOSPITAL,,,,,10754549,2354438,,2043470
NAIROBI WEST HOSPITAL,10560752,6390665,35470763,17474480,12780630,21857166,1888143,22850980
Nairobi Women hospital - Nakuru CBD,20160,,238560,131040,26880,137760,124320,101920
Nairobi Womens Hospital Adams,,,52038,,,,69480,
NAIROBI WOMEN'S HOSPITAL KITENGELA MEDICAL CLINIC,,,4480,47040,33600,120560,,83760
Naitiri Jambo Medical Clinic,"253,120",,645680,566960,152320,1024480,,1164800
Naitiri Sub-County Hospital,,,100240,66960,66720,156720,,411840
Naivasha (AIC) Medical Centre,,,160000,138960,8960,1185920,,348080
Naivasha Quality Health Care Services LTD(Karagita),,6720,11000,,,,15680,
NAIVASHA SUB COUNTY HOSPITAL,,2688171,5836269,3983840,1509960,5160070,216719,7680720
NAJRAN MEDICAL CENTRE LIMITED,"302,400",83440,237440,578960,118720,808640,,825360
NAKURU HEART CENTRE,"47,040",,50400,,,161280,,98010
Nakwamoru Health Centre,"53,760",13440,53760,120800,82880,321360,,292240
NALA MATERNITY & NURSING HOME,,,,,1163360,2253360,,832080
Nalondo Health Centre (Model),"74,480",20000,130000,72240,54480,51360,93280,229280
Namagara Dispensary,,,,10000,,,,
NAMANGA NURSING HOME,"34,890",,1385120,661680,184720,1639200,,2000400
NAMANG'OFULO DISPENSARY,,,2500,2500,,,,
Namarambi Dispensary,,,10000,,10000,10000,10000,
Namasoli Health Centre,24640,,75960,114240,79440,843680,,964960
Nambale Sub County Hospital,,,30000,270000,31920,481190,,710640
Namboboto Dispensary,,,60000,70000,20000,252180,,278960
Namo Hospital Limited,"537,600",99680,1413440,617760,107440,312400,,261760
Namuduru Dispensary,,,10000,,,,,
Namunyak Medical Centre,63240,4050,8960,128720,74960,147840,,452160
NANDI HILLS SUB COUNTY HOSPITAL,,,,,2242940,2877180,,1522380
Nanyuki Cottage Hospital,,,343280,270480,90160,316160,,344960
Nanyuki Hospital,"287,600",592400,166320,117520,42400,282880,,340240
NARIOKOTOME DISPENSARY,"60,000",,,,,110000,,50000
Narok Cottage Hospital,"541,160",204862,270090,591180,403320,1102750,,1061330
Narok County Referral Hospital,"312,779",811050,2851660,1801960,610130,1683050,2141868,3755810
Naromoru Level 4 Hospital,"144,080",,717760,300880,208000,556480,,830800
Nasewa Health Centre,,,,30000,,30000,,40000
Nashad Nursing Home,"22,400",,114240,161280,47040,145600,,123200
NASHWA NURSING HOME,,,,800560,13440,1142400,,1008000
NASIANDA HEALTH CENTRE,"10,000",,50000,82500,,153500,,10000
Nassi Hospitals,"125,440",15680,212640,234880,142160,461280,,663280
NASUSI HEALTH CENTRE,,,,,280000,292240,,80000
NATAHA MEDICAL CENTRE,,,154560,465920,370640,893760,,883600
NATIONAL SPINAL INJURY HOSPITAL,,259400,22900,,,171080,,47360
NAVAKHOLO SUB COUNTY HOSPITAL,,,,,924880,2042640,,1108800
Nawal Nursing Home,"361,520",57880,936680,1159200,362880,1336880,,1360800
NAZARETH HOSPITAL,,,,,6104920,20682060,,6769675
Nazareth Hospital (Ruiru),"221,200",,943320,584560,227520,951760,,1312160
NAZARETH HOSPITAL RIARA RIDGE,,,3598875,,,,,
NDALU HEALTH CENTRE,,,,,20000,220000,,537940
NDAMAMA DISPENSARY,,,20000,20000,,10000,,20000
Ndanai,"777,200",110000,1802480,1057200,433800,1557800,165440,2092960
Ndaragwa Health Centre,"240,000",20000,240900,130000,30000,220000,60000,170000
Ndavaya Dispensary,,,20000,,,30000,,20000
Ndege Nursing Home,,,302400,913920,284480,940800,187180,1310400
NDEMI HEALTH CENTRE,,,,30000,,10000,,30000
NDERE HEALTH CENTRE,,,10000,,,,10000,70000
Ndetani Olive Health Care Services,,,,,240000,370000,30000,360000
Ndhiwa Sub county Hospital,"50,320",,685960,1618680,577440,3588960,,3137320
NDIA MEDICAL CENTRE,,,,11200,11200,31360,,11200
Ndilidau Dispensary (Jipe),"20,000",,,,,30000,10000,47500
NDINDIKA HEALTH CENTRE,110000,,151480,160000,80000,190000,,494810
Ndiru Level 4 Hospital,,,1178240,1235120,790560,1860480,,3164720
NDITHINI HEALTH CENTRE,,,10000,31200,4480,61200,,34480
Ndome Dispensary (Taita),,,10000,,,,,
Ndonyo Medical Services (Naivasha Kwa Muya Clinic),"427,865",10080,370645,256160,63840,281680,117680,472080
NDOVOINI NGUUMO DISPENSARY,,,10000,,,,,10000
Neboi Nursing Home,"107,520",93700,226240,275520,31360,414400,,508480
Neema Hospital,"325,200",57120,546480,29120,160880,705520,448880,1066640
Neema Hospital (Ruiru),"230,000",102200,359680,359760,73440,430240,126960,520880
Neema Hospital Ltd. Annex,"294,320",60480,545920,53360,218080,257040,76000,167920
NEEMA MEDICAL HOME LIMITED,,,20000,50000,,60000,,104480
NEEMA TUNZA MEDICAL CLINIC,,,,10000,10000,,,
NEEMA UNIVERSAL HEALTH CARE LIMITED - EMBU TOWN,,,,440160,5249039,3608236,,1295440
NELEPEK MEDICAL CARE CENTRE,,,,179200,264320,427840,,566720
Nelly Medical Centre,"465,040",53760,250080,120000,10000,824560,,581760
NEOCARE MEMORIAL HOSPITAL,"232,880",38460,672880,913600,396480,2029840,,2138720
Neocare Specialist Hospital,"740,000",215720,1868400,1835520,1097440,2722140,312800,3739280
Neoglobal Medicare Hospital,"493,840",268800,790720,819840,394240,1808720,,1662960
NEON RAPHA HEALTHCARE CLINIC,,,6525,,,,,
NEPHROCARE CLINIC LIMITED,,,,,1895700,5591250,,2161950
NephroMed Limited Mpeketoni Facility,,,191700,,85200,319500,457950,585750
NEPHROMED LTD,,,2831025,1785317,451479,1600019,1957012,1831800
Neptune Health Care,22400,,103040,168000,141120,474880,,645120
New Busia Maternity & Nursing Home,"898,813",321720,1733520,821690,628560,2363210,,2181750
New degree medical centre,87360,38080,78400,237440,67200,347200,,413200
New Hope,"10,000",,641680,,235200,1827680,209360,2584480
New Hope Medical Clinic (Manga),"44,800",,62720,,51520,443520,138880,418880
New Hope Medicare Centre Tinderet,"103,040",,116480,49280,26880,185920,,159040
New Junction Health Centre,"33,600",,103040,38080,22400,62720,,161280
NEW KIMILILI MEDICAL CLINIC,,,,,11200,38080,,40320
New Manyalo Nursing Home,,,226240,786240,188160,943040,227860,808640
Newlife Cottage Hospital,"1,395,200",23520,560000,894800,109680,1276800,,377120
NEWLIFE PSYCHIATRY HOSPITAL AND REHABILITATION CENTER,,,,,6720,131285,,85750
Ngai Health Center,"10,000",,,,,10000,,10000
Ngalasia Dispensary,,,,10000,,40000,,20000
NGAMIA HEALTH SERVICES,,,,,60480,488320,,564480
Ngano Health Centre,60000,10000,110000,40000,20000,120000,30000,210000
Ngara Health Centre (City Council of Nairobi),"99,600",257600,230000,139997,80000,160000,90000,280000
Ngarariga Health Centre,"17,920",,50320,17920,13440,139920,,125440
Ngarua Health Centre,"30,000",,142400,92240,83600,281360,24480,243600
NGATATAEK DISPENSARY,,,,10000,20000,30000,,10000
Ngecha Health Centre,,,30000,30000,,10000,20000,50000
NGEGU DISPENSARY,,,10000,20000,,,,
Ngerenya Dispensary,,,58000,30000,,40000,,60000
Ngiya Community Hospital Limited,24640,,71680,146860,192640,488320,,439040
Ng'iya Health Centre,"207,040",86720,221120,184720,89600,476160,,409120
Ng'ombeni Dispensary,"42,750",10000,20000,20000,,50000,,20000
Ngomeni Health Centre (Magarini),,,40000,,,10000,,60000
Ngong Sub-County Hospital,"230,000",330000,1160320,1387520,250480,1490560,251080,3264960
NGORIKA HEALTH CENTRE,,,80000,,20000,80000,,40000
NGUBERETI HEALTH CENTRE,,,,10000,,,,10000
NGULUNI HEALTH CENTRE,,,20000,30000,10000,100000,20000,230000
Ngumba Medical Centre,"24,640",,320320,412160,112000,741440,,880320
Ngundu Health Center,,,210000,150000,40000,190000,20000,350000
Nguni Favour Medicare,87920,94480,124800,83600,15680,95840,,226160
Ng'uono Medical Centre,"24,900",,,,,,,
NGURUBANI MEDICAL SERVICES -GATEGI,,,,154560,232960,210560,,
Ngwata Health Centre,"20,000",,80000,,,10000,30000,
Nightingale Medical Centre,"188,160",108360,647840,637680,322080,647360,255440,996480
Nightingale Medical Centre-Milimani,"177,550",,579920,454160,259920,759650,298520,1297720
Nile Medical Care,"22,400",,4480,35840,,31360,,154560
NIMOLI MEDICAL SERVICES,,,,,10000,30000,,10000
NISSI MEDICAL CENTRE,,,,2327360,1742720,4800320,3165120,5559680
NJABINI HEALTH CENTRE,,,30000,,10000,60000,,30000
Njegas Health Centre,"20,000",10000,20000,30000,10000,70000,60000,40000
Njiru Hospital,"340,000",,520000,710000,30000,360000,10000,430000
Njoro Subcounty Hospital,"242,880",10640,360080,284440,67040,290240,,504200
Njukini Health Centre,90000,30000,130000,120000,50000,230000,,320000
NKARARO HEALTH CENTRE,,,10000,10000,20000,10000,,
NMC,,,208320,795200,107520,656320,,658560
NORTH KINANGOP CATHOLIC HOSPITAL,18285754,4909230,25096390,11411350,3623800,19969310,4138400,16021710
Northern Specialists Hospital,,,,290220,16800,302400,125440,97440
NORTHLAND SPECIALIST HOSPITAL,,,,504000,1756160,1117760,,963200
NORTHLIFE HEALTHCARE SERVICES LTD,,,,24640,1041600,767120,,990080
Northlight Hospital Limited,,,,386320,224000,2165600,,304160
NOVASSPECIALIST HOSPITAL -LODWAR (CANCER AND INFECTIOUS DESEASE),,,1295276,72240,,2132796,2222396,30000
NTHANGU DISPENSARY,,,,,50000,20000,,
Nthongoni Sub County Hospital,"20,000",,10000,40000,30000,70000,,90000
Ntimaru Sub County Hospital,30000,,141000,50000,63520,521920,,494480
NTULELE DISPENSARY,,,,20000,10000,30000,,60000
Nucleaur Medical Diagnostic Center,"98,560",,394240,300160,141120,403200,38080,548800
NUEVA ESPERANZA TREATMENT AND REHABILITATION CENTRE LIMITED,"268,800",,,,67200,604800,,
Nuru Ambusely Hospital,,,49280,8960,38080,26880,,58080
Nuu Sub County Hospital,,,30000,20000,20000,,,31200
NYABIKAYE DISPENSARY,,,,8960,71680,42560,,22400
Nyabohanse Medical Centre,"514,520",43190,1194800,1210640,827600,2624480,,1553440
NYABOLA DISPENSARY,"29,000",,10000,,,,,
NYABONDO HOSPITAL,,,,,1110840,6618555,,2528640
Nyabondo Rehabilitation Centre,"104,160",,1544480,686560,473760,1162560,617120,2157120
Nyaburi Clinic,,,,,76160,606840,,11200
NYACHEKI SUB DISTRICT HOSPITAL,,,,70000,10000,66720,,40000
NYAGORO HEALTH CENTRE,,,30000,65680,,,10000,121180
NYAHERA SUB-COUNTY HOSPITAL,,,30000,33440,40000,120800,,83360
NYAHURURU DISTRICT HOSPITAL,,11021548,11068630,5108040,2184770,7782980,1285090,8500150
Nyahururu Private Hospital,,,,60400,10000,23440,20160,167760
Nyakach County Hospital,"517,840",218660,747920,371200,53680,449360,96720,616240
Nyalenda Health Centre,"50,000",,50000,30000,30000,10000,30000,90000
NYALI BRIDGE MOMBASA HOSPITAL LTD,,,,,5782295,2843550,,2790150
Nyali Children Hospital,"10,080",148130,,,26880,67200,16800,87360
Nyalunya Health Centre,,,20000,30000,,20000,10000,20000
NYAMACHE SUB COUNTY REFERRAL HOSPITAL,,,,,556400,817680,,354940
Nyamagundo sub county hospital,,,20000,30000,,13360,23360,40000
Nyamagwa Health Centre,"493,520",2240,803840,1055920,407360,1828240,,2253920
Nyamaiya Medical Center,"94,080",13440,324800,342720,217280,882560,,862240
NYAMARIMBA SUB-COUNTY HOSPITAL,,,,4480,20000,30000,8960,30000
Nyamasibi Sub-County Hospital,"23,520",,56800,30000,10000,60080,30000,50000
Nyambene Clinical Services and Nursing Home,,,240800,554320,97200,568960,3360,362800
Nyambene Sub County Hospital,1369580,48750,6607060,2889720,1325280,3682030,596320,9762650
Nyamekongoroto Health Centre,"64,800",,30160,24640,,20000,,
NYAMIRA COUNTY REFERAL HOSPITAL,,,,,5918148,14773800,,4789850
Nyamusi Medical Centre,"31,360",,33600,69440,26880,120960,15680,80640
Nyamusi Sub-County Hospital,"53,680",17700,974000,701760,779040,2337600,,2843240
NYANCHWA ADVENTIST MISSION HOSPITAL,,,,,2742320,9657561,,2509440
Nyandiwa Level IV Hospital,"285,600",106720,1454720,1447920,1243120,5442960,,10909200
Nyandusi,"26,880",,164640,174720,20160,94080,,157920
Nyangande Sub County Hospital,,,36720,20080,13440,26800,6720,81200
NYANGENA HOSPITAL LTD,,4363470,5747920,3981960,1336060,5730850,847090,6047170
Nyangena Sub District Hospital (Manga),"76,960",,322240,591120,157760,825600,,2253840
Nyangiela Sub District,"60,480",,1287840,1390720,930640,3460400,53620,5022720
Nyang'oma Mission Health Centre,29120,,98560,120960,33600,136640,,186640
Nyang'oma Sub county Hospital,"20,000",10000,56720,60000,40000,150240,19760,203600
Nyangu Dispensary,,,70000,70000,,40000,,80000
Nyansakia Health Centre,,,20000,90000,,250160,,349520
NYANSIONGO NURSING HOME,,,,,295680,199360,,174720
NYATALIO DISPENSARY,,,130000,140000,,70000,,40000
Nyatieko Gesusu Health Services,"347,200",,304640,458000,200400,999040,,978720
NYATIKE HEALTH CENTRE,,,40000,10000,,,,20000
NYATOTO HEALTH CENTRE,,13440,,15680,,51360,,11200
Nyawita Medical Clinic,"461,940",59750,489360,598080,170240,647360,82880,692000
Nyeri Town Health Centre,"90,000",20000,110000,170000,,120000,30000,110000
Nziu Health Centre,,,30000,,,10000,,50000
Nzoia Medical Centre,"10,000",,298960,484720,336000,1089360,,1458320
Oak Tree Centre For Kidney and Chronic Diseases Ltd,,,4993080,2672970,575100,3999780,5504200,4861860
OAKWOOD HOSPITAL LIMITED,"23,520",,157680,235200,137760,601360,,1115040
Oasis Doctors Plaza,"50,830",24400,397954,482880,16800,254640,,344320
Oasis Doctors Plaza Kakamega,"198,640",33600,1003170,1171670,302360,2089190,,1699700
OASIS DOCTORS PLAZA KISII,,,,6900,,,,
Oasis Doctors Plaza Medical Centre (Migori),"50,000",179280,612240,889040,237120,1009440,,1351200
Oasis Health Siaya,"1,397,130",58800,839440,1720640,350800,707844,405520,919764
Oasis Maternity and Nursing Home,"578,500",354130,2489760,1263360,651840,1004640,53760,2472160
Oasis Medical Centre,"10,000",,6720,10000,,86720,42880,86880
OASIS SPECIALIST HOSPITAL,,,,,20141051,3473083,2500453,4280580
Ober Kamoth Sub County Hospital,,,345040,150720,10000,63600,150800,274320
Ober Level 4Hospital,"10,000",,308320,884320,307920,873440,,819760
OBUNGA DISPENSARY,,,10000,10000,,20000,,
Obwanda Health Centre,"10,000",,20000,20000,10000,,20000,
Ogembo Medical Clinic,"94,080",13440,241920,259840,150080,432320,,414400
Ogongo Level 4 Hospital,"61,440",,1209600,2516640,809760,3655120,,3494080
OGORJI DISPENSARY,,,,5000,,,,31100
OGRA MEDICAL CENTRE & COMMUNITY,,,,89600,224000,781760,,593840
Ojele Memorial Hospital,"527,520",40320,839600,1123480,362880,1867960,,1616160
Ojola Sub County Hospital,"10,000",,100000,30000,40000,60000,10000,10000
Okitta Maternity Nursing Home,,,,,775920,1554560,24040,229520
OLASI DISPENSARY,,,,,4100,,10000,
Olbutyo Health Centre,,,70000,10000,,10000,,10000
Olchobosei Medical Centre,"120,800",26000,557520,286400,80480,672960,,648160
Olchorro Health Centre,10000,,100000,130000,50000,80000,20000,160000
Old Mawingu Health Centre,"30,000",,20000,,10000,90000,,80000
OLDANYATI HEALTH CENTRE,,,,20000,,30000,,30000
OLIVE HILL SURGICAL CENTER,,,4109600,6367200,963200,3259200,1136800,
OLIVELINK HEALTHCARE,,,,40000,56880,129440,,88240
OLJABET HEALTH CENTRE,,,20000,10000,10000,70000,10000,60000
Oljabet Hosp.,"678,930",611370,1773430,887230,546340,1636980,105040,1515230
Oljabet Medical Clinic,53760,,57580,78400,69440,118720,,136640
OLKALOU BETHEL MEDICAL CENTRE,,,60480,17920,17920,103040,,147680
OLLA NURSING HOME,47040,,112000,206080,33600,118720,62720,108560
OLMEKENYU DISPENSARY,"248,640",,50000,30000,10000,30000,,
OLOLULUNGA DISTRICT HOSPITAL,,,27900,,,,,
Oloolakir Dispensary,,,30000,,,,,
OL-RONGAI DISPENSARY,,,,10000,,,,
Oltepesi Health Centre,,,10000,,,110000,,230000
Olympus Medical Centre,"201,960",61135,270720,269840,53760,276560,,467840
OMOREMBE COMMINITY HOSPITAL LIMITED,,,334125,,,,,
OMOREMBE COMMUNITY HOSPITAL LIMITED,,,,473360,1811280,777680,,802480
Omoya Medical Centre,"293,440",116400,656320,819840,365120,1451520,,1715840
ONGATA RONGAI SUB COUNTY HOSPITAL,,,,,733920,2308320,,643600
Ongo Sub County Hospital,,,20000,20000,8960,10000,30000,37920
Onsare Medical Clinic,,,,,188160,365120,,374080
Optimal Family Medical Center,"792,640",294240,288960,270560,142240,581920,8960,272800
OREDHO HEALTH CENTRE,,,20000,,,10000,,
ORIZON MEDICAL CENTRE,,,,40000,,20000,,60000
OROLWO DISPENSARY,,,,20000,,60000,,20000
Oropoi Dispensary,,100000,100000,50000,,110000,60000,160000
ORTUM MISSION HOSPITAL (KITALE),"10,180",100,43600,207440,123840,841280,,360960
Oruba Nursing and Maternity Home,"725,760",260700,787540,948560,403200,1465840,,1774640
Osani Community Health & Development Centre,"137,680",16480,280000,237440,67200,465920,,546400
OSCAR SPECIALIST HOSPITAL LIMITED,,,,2240,,,,
OSERIAN HEALTH CENTRE LIMITED,"22,950",64960,,33600,4480,69440,,
Osman Medical Clinic,"409,840",,1314800,1252080,291200,1632320,,1647280
Osman Medical Services Annex 1,"188,160",484130,262080,161280,123200,418880,89600,535360
Othaya Sub-District Hospital,"506,000",329120,680000,388000,654640,535760,29440,935120
OTHORO SUB COUNTY HOSPITAL,"10,000",10000,,,10000,40000,10000,20000
Our Health Medical Centre Ltd,26880,,163520,156800,56000,188160,,156800
Our Lady of Lourdes Mutomo Hospital,"36,720",,2306000,1536560,328320,1743360,574480,1589200
OUR LADY OF MERCY KEBIRIGO (IBARA) HEALTH,,,,,1366280,1114080,,
Our Lady Of Mercy Mission Hospital,10080,,3480000,4049520,596800,6943920,245760,3094880
OUTSPAN HOSPITAL,3859653,3521044,9776212,3434838,1767714,5435991,1921348,3039778
Owens Nursing Home,"94,080",33600,67200,125440,26880,89920,2240,430080
OYAMO DISPENSARY,,,20000,10000,,,,
OYANI SUB COUNTY HOSPITAL,,,,50080,113520,173920,,53440
OZI DISPENSARY,,,,10000,,,,
P.C.E.A KIKUYU HOSPITAL,9619290,1720200,20100510,6928440,1019280,9455300,2042970,7166550
Pala Level 4 Hospital,"208,320",,2200800,3047360,974320,4733760,,4471920
PALA MASOGO HEALTH CENTRE,,,159040,418880,293440,197120,,107520
PALM BEACH HOSPITAL,"184,800",,157920,,6720,204960,16800,131040
Palmcare Sinai Hospital,"219,500",,2246252,716120,219240,966620,281160,768440
PANAFRIC UNIVERSAL HOSPITAL,,,,127680,902400,344960,20160,185920
Pandya Memorial Hospital,2461290,1128026,4007579,2100450,864120,2951940,604200,5662649
PAP KODERO HEALTH CENTRE,,,,10000,,213840,,175600
Paramount Nursing Home - Wajir,,,369600,929600,96320,918400,,716800
PARKLANDS KIDNEY CENTRE LTD,,,5239800,2619900,564450,2492100,2790300,4196100
Pastor Machage Memorial Hospital,"73,920",,394080,517440,100800,725600,33680,715360
PASTROLCARE MEDICAL CENTRE LIMITED,,,,1079680,134400,683200,,405440
Patanisho Maternity and Nursing Home,"6,720",,170640,97360,50400,418720,,530000
PCEA CHOGORIA HOSPITAL,6759130,5827540,13121960,7169919,2211220,13618325,12750495,14875170
PCEA TUMUTUMU MISSION HOSPITAL,,9154282,9563130,5363910,1149460,7432250,325610,8591480
Pemah Nursing and Maternity Home,"242,180",38290,394260,627200,219520,698880,67200,1052800
perkerra clinic,,,50000,130000,40000,200000,,310000
Pesi Medical Centre,,,11200,2240,4480,61520,,14480
Phadam Hospital Nasra,,,,,320640,1754510,,451520
Phinal Community Medical Centre,,,,,65840,148720,,204560
PIONEER HEALTH CENTRE,,,,,110000,180000,,90000
Pipeline Nursing Home,"58,240",32240,156800,228480,63760,396240,,445360
Pivot Medical Centre,85120,,237440,105120,98560,642720,16880,28960
Plainsview Nursing Home,"151,120",50160,701520,534720,84000,360960,137200,885680
Planet Family Hospital - Nyakoe,"22,400",,15680,44800,4480,266560,,78400
Plaza Specialist Hospital,"2,292,490",414170,2791350,1099940,278630,2291870,556700,2124560
Polyclinic Hospital,,12400,264620,945200,317840,749120,100320,268320
PONA HAVEN HOSPITAL,,,,,11200,87360,,33600
PONACARE MEDICAL LTD,,,,19185,8960,31200,,103920
Ponalabs Health Services,"107,520",,64960,120960,51520,107520,98560,132160
PONGE DISPENSARY (MBITA),,,,50000,40000,,,90000
PONYA SURGICAL AND NURSING HOME,"10,000",,,,,,,
POPE BENEDICT XVI HOSPITAL,,9386255,11687995,6226800,568100,3607680,442980,7027190
Poplar Hospital Limited,,,110880,110880,10080,80640,13440,198240
Port Florence (Ndhiwa),"501,560",85120,716800,1100880,219520,2145600,,1678720
PORT FLORENCE COMMUNITY HOSPITAL- AWASI,,,,20000,10000,349120,,1019040
Port Florence Hospital,,,,,349360,6984800,,2206960
Port Victoria Hospital,,,166720,317440,73680,407040,156480,691920
Potter`s Family Hospital,,11200,76160,38080,13440,179200,,161280
Precious Hospital,"13,440",,262080,259840,82880,526400,,535360
PREMIER HOSPITAL,,,,,5563604,7160651,229023,1406170
Premierecare Diagnostic Hospital Annex,137880,85200,158450,83250,,10000,74550,5000
Primacare Community Medical Centre,,,,1013200,17920,82720,,268480
Prince Richard Health Care Clinic,"387,120",123200,2184500,1175160,575680,2038640,,2981920
PROACT SERVICES HEALTH CENTRE,"8,960",,11200,8960,,33600,,26720
Prof.Lucas Community Health System Hospital,,,417680,369600,163520,663040,,710080
PROGRESS MEDICAL SERVICES ANNEX,,,48375,,,,,
PROLIX SOLUTION LIMITED,,,,10000,,30000,,88960
Pumwani Maternity Hospital,5904880,4795639,12512836,6730000,2420160,10902237,1953680,16112560
PWANI DISPENSARY,,,,,10000,,,10000
Pwani Maternity and Nursing Home,"47,040",,40320,76160,6720,123200,,248640
PYNET HEALTHCARE LIMITED,,,4480,8960,4480,24640,,76160
QALANQALESA DISPENSARY,,,,10000,,20000,,90000
QARAN HOSPITAL,,,49280,1090880,548800,929600,,1104320
Qarsadamu Dispensary,,,150000,30000,,170000,,40000
QASIMS HOSPITAL LIMITED,"312,200",145430,1822880,1911360,936400,4189120,,5555040
Qatar Medical Clinic,6720,,120480,86160,20160,143200,,208560
Quality Dialysis Kenya LTD,"830,700",202350,1522950,607050,138450,852000,276900,1214100
Queen Rivers Medical Centre,,,44800,286720,141120,544320,,945280
Queens & Kings Health Centre,"98,560",,407360,335200,127520,383280,65680,539600
Queens And Kings,"255,360",18132,293440,318080,105280,452480,31360,748160
Queenteric Annex Hospital,"164,640",,460320,729120,188160,651760,,1061760
QUEENTERIC ANNEX HOSPITAL-KISUMU BRANCH,,,,265440,352800,557760,,675360
Quintas Medical Centre Limited,143360,,159920,115280,64960,357920,,576720
Qumbiso Dispensary,,,,430000,90000,180000,,70000
Quracle Nursing Home,199360,49280,53760,89600,42560,383040,,365120
Rabai Sub County Hospital,"10,000",,626720,420000,72400,780000,,1519120
RABAR HEALTH CENTRE,,,80000,10000,,30000,,160000
Rabuor Sub county Hospital,"60,000",92600,80000,130000,20000,143360,40000,186720
RACECOURSE HOSPITAL,,7830551,5553650,4865680,1324050,6564977,6345657,6294150
Rachar Sugar Belt Hospital,"199,360",26880,183680,210560,154560,305680,,471440
Rachuonyo County Hospital,1346314,64340,3594000,6032880,3442240,3394480,777919,3611520
RADIANT GROUP HOSPITAL LIMITED PANGANI,,,,,545230,2138400,,792780
Radiant Group of Hospital (Kiambu),"269,040",170400,771120,550220,179280,476910,54330,772770
RADIANT GROUP OF HOSPITALS KASARANI SPORTSVIEW,,,,200560,345840,480720,,764800
RADIANT GROUP OF HOSPITALS-UMOJA,"401,820",145110,367530,190400,97440,352560,,368480
Raganga Health Centre,,,60000,70000,10000,10000,20000,90000
RAILVIEW MEDICAL CENTRE-KITENGELA,,,30825,,,,,
RAIMU HOSPITAL LIMITED-MALABA,,,4480,,,,,
Raitigo Dispensary,,,10000,20000,,10000,,
Rakedenn Medical,"174,680",27510,347040,439040,284480,851200,,909440
RAM HOSPITAL LTD KISII,,,,,3975640,21595830,20216280,6122620
Ramaazi Nursing Home Limited,,,26880,841700,241920,925120,69710,1182720
Ramata Nursing Home,,,120960,154400,62720,99600,,247680
Ramula Health Centre,,,100000,70000,10000,30000,20000,90000
Randburg Community Hospital,"1,055,040",31800,2380560,2237173,564480,4347840,,3271280
Ranen (SDA) Dispensary,"35,840",,445760,482480,221760,563520,,721840
Ranen ochuna medical centre,"458,000",42560,1425520,1379520,539840,2255040,,2620720
RAPHA DIALYSIS AND DIAGNOSTIC CENTRE,,5697750,6145050,2502750,1001100,4047000,1608150,6390000
RAPHA MAKUENI NURSING HOME,,,,,5927840,1416160,853060,1945180
Raruowa Health Centre,"28,960",,98400,184240,56000,121840,24480,218000
RASMAAL MEDICAL CENTRE- WAJIR,,,,,521920,2593920,,737760
Ravine Glory Hospital Mogotio,"100,560",,636320,625040,190720,1113840,195520,857360
Ravine Specialists Hospital,"103,920",31950,1312650,2261930,276580,1779770,347220,813880
RAVINNA HOSPITAL LTD,,,,64960,766080,1364160,,1664160
RAYCOS HEALTH CENTRE,,,15680,,,35840,,
RAYTONS FAMILY MEDICAL CENTRE,,,13275,,,,,
REALE HOSPITAL ELDORET,,,,,4227090,24903538,,7723790
REALE HOSPITAL UTAWALA LIMITED,,,,,1209930,5791200,,988350
Redstar Medical Services Ltd,"132,160",,235200,360640,67200,371840,,658560
Regaol Barnabas Medical Centre,76160,,88240,151120,82720,331200,,515440
